Tube N°;Date;Location;length (mm);weight(mg);pigmentation stage;condition factor;Food visible;remarks;;;;;;;;;;;;
96;7/04/2017;VA_PG_LO_PA;73;354;VIA4;0,91;;;;;;;;;;;;;;
97;7/04/2017;VA_PG_LO_PA;74;294;VIA3;0,73;;;;;;;;;;;;;;
98;7/04/2017;GA-SU;65;268;VIA3;0,98;F;;;;;;;;;;;;;
99;7/04/2017;GA-SU;69;254;VIA2;0,77;F;;;;;;;;;;;;;
100;7/04/2017;GA-SU;69;307;VIA1;0,93;;;;;;;;;;;;;;
101;7/04/2017;GA-SU;66;244;VIA3;0,85;F;rashes body, swollen head;;;;;;;;;;;;
102;7/04/2017;VA_PG_LO_SU;71;319;VIA2;0,89;F;;;;;;;;;;;;;
103;7/04/2017;VA_PG_LO_SU;64;244;VIA4;0,93;F-;deformed mouth;;;;;;;;;;;;
104;7/04/2017;VA_PG_LO_SU;70;283;VIA3;0,83;F;;;;;;;;;;;;;
105;7/04/2017;VA_PG_LO_SU;70;266;VIA4;0,78;F;;;;;;;;;;;;;
106;7/04/2017;VA_PG_LO_SU;66;216;VIA4;0,75;;;;;;;;;;;;;;
107;7/04/2017;VA_PG_RO_SU;70;295;VIA4;0,86;F;;;;;;;;;;;;;
108;7/04/2017;VA_PG_RO_SU;69;314;VIA3;0,96;F;;;;;;;;;;;;;
109;7/04/2017;VA_PG_RO_SU;68;241;VIA4;0,77;F;;;;;;;;;;;;;
110;7/04/2017;VA_PG_RO_SU;67;338;VIA2;1,12;F;blind eye;;;;;;;;;;;;
111;7/04/2017;VA_PG_RO_SU;72;332;VIA4;0,89;F;;;;;;;;;;;;;
112;7/04/2017;VA_PG_KR_NA;76;341;VIA4;0,78;F;;;;;;;;;;;;;
113;7/04/2017;VA_PG_KR_NA;77;340;VIA2;0,74;F;;;;;;;;;;;;;
114;7/04/2017;VA_PG_KR_NA;74;337;VIA2;0,83;;;;;;;;;;;;;;
115;7/04/2017;VA_PG_KR_NA;68;279;VIA3;0,89;F;;;;;;;;;;;;;
116;7/04/2017;VA_PG_KR_NA;72;276;VIA3;0,74;F;;;;;;;;;;;;;
117;14/04/2017;VA_PG_LO_PA;63;201;VIA3;0,80;F;;;;;;;;;;;;;
118;14/04/2017;VA_PG_LO_PA;73;295;VIA4;0,76;F;;;;;;;;;;;;;
119;14/04/2017;VA_PG_LO_PA;66;239;VIA4;0,83;F;;;;;;;;;;;;;
120;14/04/2017;VA_PG_LO_PA;72;238;VIA4;0,64;F;;;;;;;;;;;;;
121;14/04/2017;VA_PG_LO_PA;72;290;VIA4;0,78;F;;;;;;;;;;;;;
122;14/04/2017;VA_PG_RO_PA;75;325;VIA4;0,77;F;;;;;;;;;;;;;
123;14/04/2017;VA_PG_RO_PA;71;301;VIA3;0,84;F;;;;;;;;;;;;;
124;14/04/2017;VA_PG_RO_PA;68;268;VIA3;0,85;F;;;;;;;;;;;;;
