nr;Potje staart vetzuuranalyse;Potje Maaginhoud;Vetzuuranalyse;datum;Locatie;Gewicht Glasaal;Gewicht maag-darmstelsel;Opmerkingen;Microplastics/Contaminatie/vezels (katoen?);;Cladocera sp.;;Annelida;;Polychaete;;Isopoda;;Diptera sp.;;Chironomide thummi-plummosus;;Crustaceae sp.;;Cyclopoida sp.;;Invertebrata (larve) sp.;;Daphnidae sp. (ingekapseld);;Cladocera sp. (Chydorus sphaericus);;Amphipoda sp.;;Calanoide Copepode (Pseudocalanus elongatus);;Gammarus;;Calanoide copepode;;unidentifiable eggs;;Copepoda sp.;;Copepoda (Oithona similis, male);;Harpacticoid Copepod;;Pleuroxus sp.;;Chydorus sp.;;Detritus/plantenafval;;Plantae sp.;;Pennate diatomee;;Detritus met schimmelfilamenten;;Invertebrate sp.;;Hexapode sp. ();;keverlarve;;Chironomide (Non thummi plumosus);;Nereis sp.;;Amphipode (Atylus sp.);;Chironomide sp.;;Simulium sp.;;
62;A;3;;24/03/2017;PG-KR;0,188;0,0071;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
34;A;3;;24/03/2017;PG-RO-PA;0,191;0,0085;"Plantenmateriaal gevonden; ";0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
27;A;3;;17/03/2017;PG-RO-SU;0,158;0,0035;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
56;A;3;;24/03/2017;PG-LO-SU;0,156;0,0065;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
36;A;3;;24/03/2017;PG-RO-PA;0,061;0,004;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;3;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
40;A;3;;24/03/2017;PG-LO-PA;0,203;0,004;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
53;A;3;;24/03/2017;PG-LO-SU;0,194;0,0038;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
54;A;4;;24/03/2017;PG-LO-SU;0,147;0,0052;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
33;B;4;;24/03/2017;PG-RO-PA;0,223;0,008;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
44;B;4;;24/03/2017;GA-SU;0,106;0,0032;"Vergeten gewicht maag-darmstelsel op te schrijven; getal is een  schatting, onbekend stuk organisme in de map";0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
6;B;4;;10/03/2017;PG-LO-PA;0,199;0,0055;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
31;B;4;;18/03/2017;PG-KR;0,250;0,0059;maag niet leeg maar onidentificeerbaar;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
81;B;4;;31/03/2017;PG-LO-SU;0,190;0,0074;"Inhoud maag in de map; kopstructuur worm?";0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
265;B;4;;24/05/2017;PG-RO-PA;0,191;0,0087;;0;;0;;0;;1;;0;;0;;0;;0;;8;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
26;B;4;;17/03/2017;PG-RO-SU;0,265;0,0079;;1;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
158;B;4;;21/04/2017;PG-LO-SU;;0,0108;Gewicht vergeten meten;0;;0;;0;;0;;0;;0;;0;;0;;2;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;2;;0;;0;;0;;0;;0;;0;;0;;
23;B;4;;17/03/2017;PG-RO-SU;0,191;0,0035;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;
16;B;4;;17/03/2017;PG-RO-PA;0,260;0,0066;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
3;B;4;;10/03/2017;PG-RO-PA;0,176;0,0035;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
61;B;5;;24/03/2017;PG-KR;0,101;0,0025;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;
275;B;5;;24/05/2017;MI-RO-SU;0,311;0,0334;Al het voedsel zat op het einde van de darm, de glasaal had wss al een tijdje niet meer gegeten;0;;0;;0;;1;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;15;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;
2;B;5;;10/03/2017;PG-RO-PA;0,281;0,0102;detritus present, needs to be checked with a better microscope;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
37;B;5;;24/03/2017;PG-RO-PA;0,148;0,0054;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;2;;0;;0;;0;;0;;0;;0;;0;;
276;B;5;;24/05/2017;SC-RO-SU;0,420;0,0453;Zeer veel maaginhoud;0;;0;;0;;3;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;1;;0;;0;;0;;0;;5;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
32;B;5;;18/03/2017;PG-KR;0,243;;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;
28;B;5;;18/03/2017;PG-KR;0,250;0,0069;"Prut gevonden vanachteren in de darm, in apart potje voor verdere analyse met microscoop; blauwe vezel die duidelijk inwendig gevonden is bij de glasaal aan de kant om identiteit na te gaan";0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
58;B;5;;24/03/2017;PG-KR;0,263;0,0073;Prut gevonden vanachteren in de darm, in apart potje voor verdere analyse met microscoop;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
24;B;5;;17/03/2017;PG-RO-SU;0,135;0,0042;Rode structuur samen met darmprut in potje aan de kant voor verder onderzoek;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
113;B;5;;7/04/2017;PG-KR;0,270;0,0068;Maagprut voor verdere analyse;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
160;B;5;;21/04/2017;PG-LO-SU;0,124;0,0054;Vis vrij uitgedroogd, ook de binnenkant;0;;0;;0;;1;;0;;0;;0;;0;;3;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
271;B;5;;24/05/2017;PG-LO-SU;0,256;0,031;Blauwe vezel duidelijk uit de maag (geteld als microplastic) -> kleur trok eruit door ethanol, verdere analyse;1;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;1;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;
42;B;6;;24/03/2017;PG-LO-PA;0,194;0,0079;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;;0;;0;;0;;0;;0;;0;;0;;
38;B;6;;24/03/2017;PG-LO-PA;0,115;0,003;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
57;B;6;;24/03/2017;PG-LO-SU;0,045;0,0015;Vis te uitgedroogd om goeie waarneming te kunnen doen;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
