"","nr","X14.00","X15.00","X16.00","X16.1.iso.17.0","cis.9.16.1","X17.00","X17.1.16.2","X18.00","cis.9.18.1","cis.11.18.1","X18.2n.6","X20.00","X18.3n.3","X20.01","X18.4n.3","X20.3n.6","X22.00","X20.4n.6","X20.4n.3","X20.5n.3","X24.01.00","X22.5n.6","X22.5n.3","X22.6n.3"
"61",253,1.281,0.551,18.124,1.762,2.84,1.378,0.641,9.109,8.8,6.882,0.731,0.272,0.158,0.521,0.073,0.268,0.269,5.622,0.689,11.797,3.828,0.67,5.842,15.832
"62",250,1.97,0.452,20.24,0.863,4.132,0.93,0.473,8.885,9.238,5.412,1.032,0.3,0.326,0.502,0.104,0.249,0.173,3.933,1.09,11.865,3.383,0.588,4.764,17.991
"63",26,3.598,0.591,24.346,0.654,4.576,0.606,0.447,5.603,18.162,4.434,0.998,0.151,0.707,1.449,0.322,0.152,0.08,2.016,2.929,6.488,1.6,0.44,3.041,16.102
"64",27,2.588,0.431,22.93,0.566,3.993,0.528,0.37,6.476,17.001,3.718,0.963,0.232,0.784,1.224,0.26,0.161,0.13,2.701,3.258,6.435,2.406,0.388,3.347,18.638
"65",45,3.841,0.655,24.809,0.622,4.948,0.547,0.504,5.36,18.163,4.328,0.976,0.152,0.613,1.671,0.369,0.223,0.085,2.049,3.078,6.8,1.714,0.486,2.944,14.386
"66",47,2.789,0.508,23.909,0.505,3.991,0.534,0.357,6.251,16.624,3.898,0.745,0.145,0.553,1.15,0.207,0.167,0.13,2.244,1.956,7.637,2.124,0.438,4.129,18.261
"67",53,3.759,0.519,24.595,0.655,4.997,0.598,0.38,6.291,20.288,3.823,0.937,0.239,0.641,1.39,0.247,0.185,0.108,2.715,2.693,5.789,2.291,0.435,2.723,13.442
"68",74,3.274,0.534,23.273,0.685,4.764,0.509,0.475,5.27,18.189,4.231,0.89,0.14,0.762,1.534,0.37,0.16,0.044,1.837,3.143,6.602,1.743,0.34,3.537,16.993
"69",76,2.496,0.501,23.799,0.53,3.518,0.542,0.352,6.052,15.629,3.767,0.873,0.202,0.507,1.457,0.185,0.129,0.086,3.119,2.4,6.979,2.837,0.498,3.619,19.049
"70",252,1.449,0.426,18.948,1.03,3.664,0.971,0.386,9.38,8.937,5.305,1.023,0.314,0.274,0.569,0.079,0.256,0.171,4.553,0.8,12.352,3.022,0.39,5.24,19.211
