nr;datum;Locatie;Locatie_A;Locatie_Oever;Methode;;;Microplastics/Contaminatie/vezels (katoen?);Cladocera sp.;Annelida;Polychaete;Isopoda;Diptera sp.;Chironomida sp.;Crustaceae sp.;Cyclopoida sp.;Unidentified sp.;Amphipoda sp.;Calanoida sp.;Copepoda sp.;Harpacticoid Copepod;Hexapode sp. ();keverlarve;Pennate diatomee;Plantae sp.;Empty
106;7/04/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
107;7/04/2017;PG-RO-SU;Pompgemaal;RO;Substraat;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
108;7/04/2017;PG-RO-SU;Pompgemaal;RO;Substraat;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
109;7/04/2017;PG-RO-SU;Pompgemaal;RO;Substraat;;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
110;7/04/2017;PG-RO-SU;Pompgemaal;RO;Substraat;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
111;7/04/2017;PG-RO-SU;Pompgemaal;RO;Substraat;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
112;7/04/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
113;7/04/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
114;7/04/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
115;7/04/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
116;7/04/2017;PG-KR;Pompgemaal;midden;Kruisnetten;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
117;14/04/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
118;14/04/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
119;14/04/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;7;1;0;0;2;0;0;0;0;0;0
120;14/04/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
121;14/04/2017;PG-LO-PA;Pompgemaal;LO;Palinggoot;;;1;0;0;1;0;0;0;0;29;0;0;0;0;1;0;0;0;0;0
122;14/04/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
123;14/04/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
124;14/04/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
125;14/04/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
126;14/04/2017;PG-RO-PA;Pompgemaal;RO;Palinggoot;;;0;0;0;0;0;0;0;0;19;0;0;0;0;0;1;0;0;0;0
127;14/04/2017;GA-SU;Ganzepoot;midden;Substraat;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
128;14/04/2017;GA-SU;Ganzepoot;midden;Substraat;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
129;14/04/2017;GA-SU;Ganzepoot;midden;Substraat;;;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
130;14/04/2017;GA-SU;Ganzepoot;midden;Substraat;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
131;14/04/2017;GA-SU;Ganzepoot;midden;Substraat;;;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
132;14/04/2017;SC-RO-SU;Sluizencomplex VA;RO;Substraat;;;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
133;14/03/2017;PG-RO-SU;Pompgemaal;RO;Substraat;;;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
134;14/03/2017;PG-RO-SU;Pompgemaal;RO;Substraat;;;0;0;0;1;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0
135;14/04/2017;PG-RO-SU;Pompgemaal;RO;Substraat;;;1;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0
136;14/03/2017;PG-RO-SU;Pompgemaal;RO;Substraat;;;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0
137;14/04/2017;PG-RO-SU;Pompgemaal;RO;Substraat;;;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
138;14/04/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
139;14/04/2017;PG-LO-SU;Pompgemaal;LO;Substraat;;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
