nr;X14.00;X15.00;X16.00;X16.1.iso.17.0;cis.9.16.1;X17.00;X17.1.16.2;X18.00;cis.9.18.1;cis.11.18.1;X18.2n.6;X20.00;X18.3n.3;X20.01;X18.4n.3;X20.3n.6;X22.00;X20.4n.6;X20.4n.3;X20.5n.3;X24.01.00;X22.5n.6;X22.5n.3;X22.6n.3;;;;;;
95;5.45;1.744;0.335;12.851;0.532;3.691;0.537;0.498;5.185;6.116;3.608;0.875;0.184;0.438;0.303;0.168;0.160;0.132;1.830;0.681;7.034;1.832;0.259;2.855;;;;;;
96;4.64;0.691;0.297;9.771;0.950;1.531;0.743;0.346;4.910;4.744;3.710;0.394;0.147;0.085;0.281;0.039;0.145;0.145;3.031;0.371;6.360;2.064;0.361;3.149;;;;;;
97;6.38;0.898;0.206;9.230;0.393;1.884;0.424;0.216;4.052;4.212;2.468;0.471;0.137;0.148;0.229;0.048;0.113;0.079;1.794;0.497;5.411;1.543;0.268;2.173;;;;;;
98;4.72;4.433;0.728;29.997;0.806;5.638;0.746;0.551;6.904;22.378;5.463;1.229;0.187;0.871;1.785;0.397;0.187;0.099;2.484;3.609;7.994;1.972;0.542;3.747;;;;;;
99;5.10;2.227;0.371;19.732;0.487;3.436;0.454;0.318;5.573;14.631;3.200;0.829;0.200;0.675;1.053;0.223;0.139;0.112;2.324;2.804;5.537;2.071;0.334;2.880;;;;;;
100;5.78;5.544;0.945;35.802;0.897;7.141;0.789;0.727;7.735;26.212;6.246;1.408;0.220;0.885;2.411;0.532;0.322;0.122;2.956;4.441;9.814;2.474;0.701;4.248;;;;;;
101;5.53;2.582;0.470;22.138;0.467;3.695;0.494;0.331;5.788;15.393;3.610;0.689;0.135;0.512;1.064;0.192;0.154;0.120;2.078;1.811;7.072;1.967;0.406;3.823;;;;;;
102;7.17;0.669;0.092;4.377;0.116;0.889;0.106;0.068;1.119;3.610;0.680;0.167;0.042;0.114;0.247;0.044;0.033;0.019;0.483;0.479;1.030;0.408;0.077;0.485;;;;;;
103;7.14;0.707;0.208;9.510;0.219;1.346;0.257;0.144;2.896;6.059;1.472;0.312;0.113;0.195;0.466;0.066;0.069;0.051;1.516;0.934;3.335;1.230;0.309;1.375;;;;;;
104;5.41;3.088;0.561;25.476;0.661;5.113;0.617;0.495;5.700;18.546;4.578;0.888;0.188;0.815;1.594;0.364;0.152;0.147;2.394;2.994;6.705;1.878;0.424;3.428;;;;;;
105;9.33;3.046;0.497;21.658;0.637;4.433;0.473;0.442;4.904;16.927;3.937;0.829;0.130;0.709;1.427;0.344;0.149;0.041;1.710;2.925;6.144;1.622;0.316;3.292;;;;;;
106;7.48;1.478;0.297;14.096;0.314;2.084;0.321;0.208;3.584;9.257;2.231;0.517;0.120;0.300;0.863;0.110;0.077;0.051;1.847;1.422;4.133;1.680;0.295;2.143;;;;;;
